"","CODE","DESCRIPTION","UNIT","PRICE","QUANTITY","COST"
"1",301007,"PGA G2/0 SL 75CM,1/2 CIRCLE, TF, 30MM",12,76100,1,76100
"2",220029,"ALBENDAZOLE 400MG TABLET",500,6000,6,36000
"3",220030,"AMITRIPTYLINE 25MG TABLET",1000,19450,12,233400
"4",220034,"AMOXICILLIN 250MG CAPSULE",1000,46150,11,507650
"5",220070,"AMOXICILLIN DISPERSABLE TABLETS 250MG",100,7200,6,43200
"6",220922,"BENZHEXOL 5MG TABLET",100,16550,1,16550
"7",220100,"CARBAMAZEPINE 200MG TABLET",1000,50650,0,0
"8",220162,"CIPROFLOXACIN 500MG TABLET",100,9150,10,91500
"9",205068,"CO-PACKAGED ORS AND ZINC TABLETS",1,1800,30,54000
"10",220185,"COTRIMOXAZOLE 480MG TABLET",1000,20350,32,651200
"11",220800,"DAPSONE 100MG TABLET",1000,34050,1,34050
"12",220435,"DIAZEPAM 5 MG TABLET",1000,16600,5,83000
"13",351053,"DISPENSING ENVELOPES  PLASTIC 75X110MM",500,7050,32,225600
"14",220222,"DOXYCYCLINE CAPSULES",100,3800,10,38000
"15",220235,"ERYTHROMYCIN STEARATE 250MG TABLET",1000,109150,1,109150
"16",220255,"FERROUS SULPHATE/FUMARATE 150-200 MG+FOLIC ACID 0.25 -0.4MG TAB",1000,8600,50,430000
"17",220862,"FLUOXETINE CAP 20MG",100,3800,0,0
"18",220303,"HALOPERIDOL TABLETS 10MG",100,16250,1,16250
"19",220403,"METFORMIN HCL 500MG TABLET",100,2950,5,14750
"20",220415,"METRONIDAZOLE 200MG",1000,15400,48,739200
"21",205081,"METRONIDAZOLE SUSPENSION 100MG/5ML 100ML BOTTLE   ",1,1600,0,0
"22",220556,"OMEPRAZOLE 20MG CAPSULES",100,3300,15,49500
"23",220470,"PHENOBARBITAL 30MG TABLET",1000,11350,2,22700
"24",220480,"PHENYTOIN SODIUM 100MG TABLET",1000,89450,2,178900
"25",220540,"PYRIMETHAMINE 25MG+SULFADOXINE 500MG TABLET",1000,108000,1,108000
"26",220850,"VITAMIN A (RETINOL) 200.000 I U CAPSULE",1000,195100,0,0
"27",220860,"VITAMIN B COMPLEX TABLET",1000,3400,25,85000
"28",220050,"ATENOLOL 100 MG TABLET",1000,24500,0,0
"29",215025,"AMPICILLIN 500MG POWDER FOR RECONSTITUTION IV/IM/INFUSION",100,37700,1,37700
"30",217074,"ANTI-RABIES HUMAN IMMUNOGLOBULINE 300IU/2ML       ",2,301350,5,1506750
"31",220182,"ARTESUNATE SUPPOSITORIES 200MG",6,23100,0,0
"32",220181,"ARTESUNATE SUPPOSITORIES 50MG",6,16100,0,0
"33",215451,"BUPIVACAINE HCL 0.5% IN DEXTROSE 8.0% INJ SOLUTION, 4ML AMPOULE, SPINAL  ",20,128350,0,0
"34",215437,"CALCIUM GLUCONATE INJECTION, 10%, 10ML VIAL",1,8650,0,0
"35",215051,"CEFTRIAXONE SODIUM  1G POWDER FOR INJECTION",1,1000,250,250000
"36",215016,"DEXAMETHASONE 4MG/ML 1ML,2ML AMPOULE",100,80300,0,0
"37",215135,"DIAZEPAM 10MG/2ML INJ IM/SLOW IV/IV INFUSION",100,32000,1,32000
"38",215153,"DICLOFENAC SODIUM 75MG/3ML INJECTION",100,12450,2,24900
"39",215166,"EPHEDRINE 30MG/ML 1 ML AMPOULE             ",10,34800,1,34800
"40",215165,"EPINEPHRINE (ADRENALINE) 1MG/ML INJ IV/IM/SC",100,62100,0,0
"41",215190,"FUROSEMIDE 20MG/2ML INJ IM/SLOW IV/IVINF",100,19750,0,0
"42",215205,"GENTAMYCIN 80MG/2ML INJ IV/IM",100,13750,0,0
"43",216025,"GLUCOSE (DEXTROSE) 5% INFUSION 500ML",24,35650,2,71300
"44",216030,"GLUCOSE 50% INJECTION 100ML",1,1550,2,3100
"45",215019,"HYDRALAZINE INJECTION 20MG/ML",5,27550,0,0
"46",215225,"HYDROCORTISONE SODIUM PHOSPHATE 100MG INJECTION",50,61300,1,61300
"47",215244,"INSULIN ISOPHANE HUMAN 100IU/ML INJ SC",1,13800,0,0
"48",215240,"INSULIN MIXTARD HUMAN 100IU/ML ",1,16550,1,16550
"49",215236,"INSULIN SOLUBLE, NEUTRAL, HUMAN 100IU/ML INJ SC",1,16400,1,16400
"50",211300,"KETAMINE 500MG/10ML INJECTION IV/IM",5,13150,1,13150
"51",211305,"LIDOCAINE HCL 2% INJECTION",1,1700,28,47600
"52",211320,"LIGNOCAINE 5% IN DEXTROSE INJ, SPINAL  ",1,3850,5,19250
"53",215334,"MAGNESIUM SULPHATE 50%  5ML INJ                   ",1,2500,0,0
"54",215360,"METRONIDAZOLE 500MG/100ML INFUSION",1,900,30,27000
"55",211322,"NALOXONE 0.4MG/ML 1ML AMPOULE                        ",10,163800,0,0
"56",215380,"OXYTOCIN 10IU/1ML INJECTION",100,21000,1,21000
"57",215045,"PENICILLIN. BENZYL 1MU/600MG INJ (PFR) IM",10,2950,8,23600
"58",223023,"PETHIDINE 100MG/2ML INJ IV/IM/SC",10,24400,1,24400
"59",215023,"PHENOBARBITAL 200MG/2ML INJECTION                       ",10,130700,1,130700
"60",217070,"RABIES VACCINE + SOLVENT 0.5ML INJ 1 DOSE",1,27000,7,189000
"61",216080,"SODIUM CHLORIDE/NORMAL SALINE 0.9% INFUSION",24,32700,5,163500
"62",211475,"SUXAMETHONIUM CHLORIDE 100MG/2ML INJECTION",100,194600,0,0
"63",217085,"TETANUS ANTITOXIN 1500IU INJECTION",1,10150,0,0
"64",211485,"THIOPENTAL SODIUM 500MG AMPOULE",50,316800,0,0
"65",216510,"WATER FOR INJECTION 10ML",100,8650,5,43250
"66",202064,"TETRACYCLINE 1% EYE OINTMENT",1,1150,71,81650
"67",220175,"CLOTRIMAZOLE 100MG PESSARY",6,850,10,8500
"68",220177,"DIAZEPAM 2.5MG SUPPOSITORIES                      ",5,19000,0,0
"69",211015,"HALOTHANE INHALATION 250ML",1,106700,0,0
"70",205045,"SALBUTAMOL INHALATION 100MCG/DOSE 200 DOSES",1,4800,1,4800
"71",308310,"AD SYRINGES 10ML+ NEEDLE DISP. DETACHED",100,25850,3,77550
"72",308302,"AD SYRINGES 2ML+ NEEDLE DISP. DETACHED",100,18950,10,189500
"73",308305,"AD SYRINGES 5ML+ NEEDLE DISP. DETACHED",100,20150,10,201500
"74",302623,"CANNULA I.V, WITH INJ. PORT & STOPPER 24G, 1.9MM",100,39750,0,0
"75",302618,"CANNULA IV 18G WITH INJ. PORT & STOPPER, 1.2MM",100,37900,0,0
"76",311242,"NASAL OXYGEN CANNULA TWIN, 160CM PAEDIATRIC       ",1,1450,0,0
"77",311240,"NASAL OXYGEN CANNULA TWIN, 200CM ADULT            ",1,1800,0,0
"78",404425,"NEEDLE LUMBAR PUNCTURE,25G X 90MM",1,2400,0,0
"79",302155,"SET BLOOD TRANSFUSION, Y-SITE 10DROPS/ML",1,700,0,0
"80",302146,"SET INFUSION ADULT, 15-20 DROPS/ML, + NEEDLE 21G",1,500,50,25000
"81",302151,"SET INFUSION PAEDIATRIC, BURETTE 100ML",1,1850,5,9250
"82",308002,"SYRINGE DISP. HYPODERMIC LUER INSULIN 100IU/1ML",100,17500,1,17500
"83",301021,"CREPE BANDAGE 6 INCH ROLL",1,1850,3,5550
"84",301033,"PLASTER OF PARIS (POP) 6"", ROLL",1,3850,0,0
"85",301031,"PLASTER OF PARIS (POP) 8"", ROLL",1,3850,0,0
"86",301195,"WOOL COTTON B.P. 500G",1,9250,15,138750
"87",303025,"BLADES SCALPEL SIZE 22",100,24250,1,24250
"88",302668,"CATHETER SUCTION FG 8 OD 2.7MM",1,550,0,0
"89",302672,"CATHETER SUCTION FG 12  OD 4MM",1,350,0,0
"90",302676,"CATHETER SUCTION FG 16 OD 5.3MM",1,400,2,800
"91",302674,"CATHETER SUCTION FG 18  OD 4MM",1,400,0,0
"92",302675,"CATHETER SUCTION FG 20  OD 4MM",1,700,0,0
"93",302708,"CATHETER URETHRAL FOLEY 3-5ML FG8, 2-WAY",1,550,2,1100
"94",302710,"CATHETER URETHRAL FOLEY, 3-5ML, FG10 2-WAY",1,1500,0,0
"95",302714,"CATHETER URETHRAL FOLEY, 10-30ML, FG14 2-WAY",1,1250,0,0
"96",302715,"CATHETER URETHRAL FOLEY, 10-30ML, FG16 2-WAY",1,1300,2,2600
"97",302716,"CATHETER URETHRAL FOLEY, 10-30ML, FG18 2-WAY",1,1300,2,2600
"98",302724,"CATHETER URETHRAL FOLEY, 10-30ML, FG24 2-WAY",1,1650,0,0
"99",302252,"NASOGASTRIC TUBE - ADULT 16",1,750,0,0
"100",302253,"NASOGASTRIC TUBE - ADULT 18",1,750,0,0
"101",302254,"NASOGASTRIC TUBE - ADULT 20",1,750,0,0
"102",302255,"NASOGASTRIC TUBE - ADULT 22",1,650,0,0
"103",302257,"NASOGASTRIC TUBE - PAED - 5",1,450,0,0
"104",302259,"NASOGASTRIC TUBE - PAED - 8",1,750,0,0
"105",302778,"TRACHEOSTOMY TUBES CUFFED 7.0 MM",1,9600,0,0
"106",302779,"TRACHEOSTOMY TUBES CUFFED 7.5 MM",1,9750,0,0
"107",311115,"TUBE ENDOTRACHEAL ORAL/NASAL PLASTIC CUFFED 6.5MM",1,2150,0,0
"108",311052,"TUBE ENDOTRACHEAL ORAL/NASAL PLASTIC CUFFED 7.5MM",1,2150,0,0
"109",302070,"GLOVES EXAMINATION LATEX, MEDIUM NON-STERILE",100,10300,25,257500
"110",302095,"GLOVES SURGEON  7 1/2 STERILE",50,37300,10,373000
"111",207008,"CHLORHEXIDINE GLUCONATE 20% SCRUB  WITH DISPENSER",1,8100,5,40500
"112",207001,"FORMALDEHYDE SOLUTION(FORMALIN) (36-38)% 5L           ",1,43750,0,0
"113",207011,"LIQUID SOAP DETERGENT FOR HOSPITAL USE, 20LTR JERICAN ",1,24100,4,96400
"114",207017,"SODIUM HYPOCHLORITE  6%  5L BOTTLE",1,34950,0,0
"115",370732,"BIN LINERS (12L BLACK)                                 ",100,34200,0,0
"116",370733,"BIN LINERS (12L BROWN)                                 ",100,33700,0,0
"117",370734,"BIN LINERS (12L RED)                                   ",100,34050,0,0
"118",370735,"BIN LINERS (12L YELLOW)                                ",100,33950,0,0
"119",304098,"SAFETY BOX FOR SYRINGES & NEEDLE DISPOSAL",25,31900,1,31900
"120",301003,"NYLON MONOFILAMENT G2/0, SL 45CM,3/8 CIRCLE,RC, 26MM",12,41950,0,0
"121",360018,"OUTPATIENT REGISTER BOOK - 200PGS",1,22250,0,0
"122",360043,"PRESCRIPTION AND DISPENSING LOG BOOK - 200PGS",1,33450,0,0
"123",370120,"REQUISITION AND ISSUE VOUCHER BOOK MF124",1,25100,1,25100
"124",370129,"STOCK CARD (HMIS 015)",50,13000,1,13000
"125",310018,"ULTRASOUND GEL WATER SOLUBLE, 5L",1,50000,0,0
"126",310049,"ULTRASOUND GEL 250ML",1,4350,0,0
"127",310001,"ULTRASOUND SONOGRAPHY PAPER | (THERMAL HIGH DENSITY)",1,68150,0,0
"128",370720,"BINS (PLASTIC)-BLACK                              ",1,446250,0,0
"129",370730,"BINS (PLASTIC)-RED                                ",1,285850,0,0
"130",370728,"BINS (PLASTIC)-YELLOW                             ",1,285850,0,0
"131",320070,"GOGGLES/SAFETY GLASSES OPERATION THEATRE          ",1,21100,0,0
"132",390391,"AUTOCLAVE MARKING TAPES, ROLL, 50M, 18MM WIDE",1,7550,0,0
"133",130009,"OXYGEN REGULATOR, CYLINDER MOUNTED",1,344650,0,0
"134",220322,"TRAMADOL 50MG CAPSULES",100,6000,0,0
"135",220010,"ACETYLSALICYLIC ACID 300 MG",1000,14000,0,0
"136",151142,"CALCIUM LACTATE 300MG TABLETS",1000,10350,1,10350
"137",220155,"CHLORPROMAZINE 100MG TABLET",1000,67100,0,0
"138",223007,"CODEINE PHOSPHATE 30MG TABLETS",100,26050,1,26050
"139",220927,"IMIPRAMINE 25 MG TABLET",100,10300,0,0
"140",220417,"MULTIVITAMIN TABLET",1000,8350,54,450900
"141",205101,"NYSTATIN 100,000 IU ORAL SUSPENSION,30ML          ",1,2000,2,4000
"142",220570,"SALBUTAMOL 4MG TABLET",1000,6400,9,57600
"143",215015,"AMINOPHYLLINE 250MG/10ML INJ. SLOW IV INFUSION",1,350,1,350
"144",202009,"ATROPINE 1% EYE DROPS",1,11150,0,0
"145",202007,"BETAMETHASONE SODIUM PHOSPHATE 0.1% EYE DROPS 10ML",1,900,7,6300
"146",202019,"CIPROFLOXACIN 0.3% EYE DROPS 10ML",1,6500,0,0
"147",202008,"HYDROCORTISONE ACETATE EYE SUSPENSION DROPS 1%W/V, 5ML ",1,3600,1,3600
"148",201020,"BETAMETHASONE VALERATE 0.1% CREAM 15G             ",1,1450,10,14500
"149",201117,"SILVER SULPHADIAZINE CREAM 1% 500G",1,5700,1,5700
"150",205102,"MICONAZOLE 2% ORAL GEL 20G TUBE",1,3450,0,0
"151",302622,"CANNULA I.V, WITH INJ. PORT & STOPPER 22G, 0.7MM",100,39450,1,39450
"152",301090,"BANDAGE COTTON W.O.W. HYDROPHILIC, 75MM X 4M",1,450,0,0
"153",301175,"PLASTER ADHESIVE ZINC OXIDE, 75MM X 5M",1,5600,20,112000
"154",311105,"TUBE ENDOTRACHEAL ORAL/NASAL PLASTIC CUFFED 5 MM",1,1650,0,0
"155",311054,"TUBE ENDOTRACHEAL ORAL/NASAL PLASTIC PLAIN 2.5MM  ",1,1450,0,0
"156",311060,"TUBE ENDOTRACHEAL ORAL/NASAL PLASTIC PLAIN 3.5MM",1,1450,0,0
"157",311065,"TUBE ENDOTRACHEAL ORAL/NASAL PLASTIC PLAIN 4MM",1,1450,0,0
"158",311075,"TUBE ENDOTRACHEAL ORAL/NASAL PLASTIC PLAIN 5MM",1,1450,0,0
"159",302068,"GYNAECOLOGICAL GLOVES S-8, HYPOALLERGIC LATEX",1,3200,0,0
"160",351444,"ALCOHOL HANDSCRUB 60ML (POCKET SIZE)",1,4650,0,0
"161",351497,"ALCOHOL HANDSCRUB DISINFECTANT 1L",1,6400,0,0
"162",207012,"POVIDONE IODINE SCRUB 7.5% 500ML BOTTLE",1,14400,0,0
"163",207016,"SURGICAL SPIRIT 100MLS",1,1850,0,0
"164",301006,"PGA G2  SL 90 CM,1/2 CIRCLE, TH, 40MM",12,70600,1,70600
